t 1 2 3 4 jOP1 jV0200 
0 -0 0 0 0 0 0 
6e-007 0.599057 0.0174483 0.000508202 0.000508202 5.64669e-005 -5.81609e-005 
1.2e-006 1.19596 0.068714 0.00298818 0.00298818 0.000106152 -0.000112725 
1.8e-006 1.78857 0.151639 0.00923217 0.00923217 0.000149453 -0.000163693 
2.4e-006 2.37476 0.264068 0.0208024 0.0208024 0.000186742 -0.000211069 
3e-006 2.95241 0.403846 0.0390444 0.0390444 0.000218376 -0.000254857 
3.6e-006 3.51946 0.568822 0.0651001 0.0651001 0.000244692 -0.000295064 
4.2e-006 4.07387 0.756852 0.0999197 0.0999197 0.000266009 -0.000331702 
4.8e-006 4.61365 0.965798 0.144273 0.144273 0.000282632 -0.000364785 
5.4e-006 5.13685 1.19353 0.198762 0.198762 0.000294855 -0.000394332 
6e-006 5.6416 1.43794 0.263829 0.263829 0.000302955 -0.000420366 
6.6e-006 6.12609 1.69693 0.339767 0.339767 0.0003072 -0.000442916 
7.2e-006 6.58858 1.96841 0.426732 0.426732 0.000307849 -0.000462017 
7.8e-006 7.02739 2.25032 0.524749 0.524749 0.00030515 -0.000477707 
8.4e-006 7.44097 2.54065 0.633724 0.633724 0.00029934 -0.000490032 
9e-006 7.82782 2.83737 0.75345 0.75345 0.000290653 -0.000499045 
9.6e-006 8.18655 3.13852 0.883614 0.883614 0.000279312 -0.000504803 
1.02e-005 8.51588 3.44218 1.02381 1.02381 0.000265534 -0.00050737 
1.08e-005 8.81462 3.74643 1.17355 1.17355 0.00024953 -0.000506819 
1.14e-005 9.08169 4.04945 1.33225 1.33225 0.000231506 -0.000503225 
1.2e-005 9.31615 4.34941 1.49927 1.49927 0.000211659 -0.000496674 
1.26e-005 9.51714 4.64459 1.6739 1.6739 0.000190186 -0.000487255 
1.32e-005 9.68395 4.93329 1.85536 1.85536 0.000167273 -0.000475066 
1.38e-005 9.81598 5.21387 2.04283 2.04283 0.000143106 -0.000460211 
1.44e-005 9.91275 5.48478 2.23544 2.23544 0.000117863 -0.000442797 
1.5e-005 9.97391 5.7445 2.43228 2.43228 9.17197e-005 -0.000422941 
1.56e-005 9.99924 5.99161 2.63243 2.63243 6.48452e-005 -0.000400763 
1.62e-005 9.98866 6.22475 2.8349 2.8349 3.74049e-005 -0.000376391 
1.68e-005 9.9422 6.44266 3.03871 3.03871 9.5597e-006 -0.000349954 
1.74e-005 9.86003 6.64412 3.24287 3.24287 -1.85345e-005 -0.000321591 
1.8e-005 9.74244 6.82803 3.44635 3.44635 -4.67264e-005 -0.000291441 
1.86e-005 9.58986 6.99336 3.64816 3.64816 -7.48694e-005 -0.00025965 
1.92e-005 9.40283 7.13916 3.84727 3.84727 -0.000102822 -0.000226367 
1.98e-005 9.18203 7.2646 4.04269 4.04269 -0.000130447 -0.000191744 
2.04e-005 8.92825 7.3689 4.23341 4.23341 -0.000157614 -0.000155935 
2.1e-005 8.6424 7.45141 4.41846 4.41846 -0.000184196 -0.000119099 
2.16e-005 8.3255 7.51156 4.59689 4.59689 -0.000210072 -8.13944e-005 
2.22e-005 7.9787 7.54887 4.76776 4.76776 -0.000235128 -4.29831e-005 
2.28e-005 7.60324 7.56297 4.93018 4.93018 -0.000259252 -4.02691e-006 
2.34e-005 7.20047 7.55359 5.08327 5.08327 -0.000282343 3.53114e-005 
2.4e-005 6.77184 7.52053 5.22621 5.22621 -0.000304301 7.48692e-005 
2.46e-005 6.31889 7.46373 5.35821 5.35821 -0.000325036 0.000114484 
2.52e-005 5.84323 7.38318 5.47851 5.47851 -0.000344462 0.000153995 
2.58e-005 5.34659 7.27901 5.58643 5.58643 -0.0003625 0.000193242 
2.64e-005 4.83075 7.15142 5.68131 5.68131 -0.000379078 0.000232068 
2.7e-005 4.29755 7.00071 5.76256 5.76256 -0.00039413 0.000270316 
2.76e-005 3.74891 6.82726 5.82963 5.82963 -0.000407597 0.000307835 
2.82e-005 3.18681 6.63157 5.88205 5.88205 -0.000419427 0.000344475 
2.88e-005 2.61327 6.4142 5.91938 5.91938 -0.000429575 0.000380093 
2.94e-005 2.03033 6.17581 5.94126 5.94126 -0.000438002 0.000414547 
3e-005 1.44011 5.91713 5.94739 5.94739 -0.000444677 0.000447702 
3.06e-005 0.844709 5.63899 5.93752 5.93752 -0.000449575 0.000479428 
3.12e-005 0.246276 5.34228 5.91149 5.91149 -0.00045268 0.000509601 
3.18e-005 -0.353042 5.02797 5.86918 5.86918 -0.000453981 0.000538101 
3.24e-005 -0.951091 4.6971 5.81054 5.81054 -0.000453474 0.000564819 
3.3e-005 -1.54572 4.35076 5.73559 5.73559 -0.000451164 0.000589648 
3.36e-005 -2.13481 3.99011 5.64442 5.64442 -0.000447062 0.000612492 
3.42e-005 -2.71622 3.61639 5.53716 5.53716 -0.000441183 0.000633261 
3.48e-005 -3.28788 3.23085 5.41405 5.41405 -0.000433553 0.000651872 
3.54e-005 -3.84772 2.83481 5.27533 5.27533 -0.000424201 0.000668253 
3.6e-005 -4.39375 2.42963 5.12137 5.12137 -0.000413165 0.000682338 
3.66e-005 -4.92399 2.01671 4.95254 4.95254 -0.000400487 0.00069407 
3.72e-005 -5.43655 1.59747 4.76931 4.76931 -0.000386218 0.000703402 
3.78e-005 -5.92958 1.17336 4.57219 4.57219 -0.000370411 0.000710294 
3.84e-005 -6.40131 0.745857 4.36175 4.36175 -0.000353128 0.000714717 
3.9e-005 -6.85005 0.316447 4.13861 4.13861 -0.000334434 0.00071665 
3.96e-005 -7.27418 -0.113372 3.90344 3.90344 -0.0003144 0.000716081 
4.02e-005 -7.67219 -0.542099 3.65696 3.65696 -0.000293103 0.000713009 
4.08e-005 -8.04264 -0.968234 3.39994 3.39994 -0.000270622 0.00070744 
4.14e-005 -8.3842 -1.39028 3.13319 3.13319 -0.000247043 0.000699391 
4.2e-005 -8.69564 -1.80677 2.85756 2.85756 -0.000222454 0.000688887 
4.26e-005 -8.97585 -2.21622 2.57393 2.57393 -0.000196948 0.000675963 
4.32e-005 -9.22382 -2.61721 2.28321 2.28321 -0.000170619 0.000660661 
4.38e-005 -9.43866 -3.00832 1.98636 1.98636 -0.000143566 0.000643034 
4.44e-005 -9.61959 -3.38817 1.68434 1.68434 -0.000115891 0.000623142 
4.5e-005 -9.76597 -3.75543 1.37816 1.37816 -8.76957e-005 0.000601054 
4.56e-005 -9.87728 -4.1088 1.06882 1.06882 -5.90855e-005 0.000576848 
4.62e-005 -9.9531 -4.44704 0.757361 0.757361 -3.01669e-005 0.000550607 
4.68e-005 -9.99318 -4.76894 0.444816 0.444816 -1.04702e-006 0.000522423 
4.74e-005 -9.99736 -5.07339 0.132235 0.132235 2.8166e-005 0.000492397 
4.8e-005 -9.96563 -5.3593 -0.179333 -0.179333 5.7364e-005 0.000460633 
4.86e-005 -9.8981 -5.62566 -0.488837 -0.488837 8.64387e-005 0.000427244 
4.92e-005 -9.79502 -5.87154 -0.795231 -0.795231 0.000115283 0.000392348 
4.98e-005 -9.65676 -6.09607 -1.09748 -1.09748 0.000143789 0.000356069 
5.04e-005 -9.48381 -6.29845 -1.39455 -1.39455 0.000171853 0.000318537 
5.1e-005 -9.2768 -6.47797 -1.68545 -1.68545 0.00019937 0.000279883 
